Hook,Framework,Category,Visual_Suggestion,Text_Suggestion,Views
Samsung just announced the Galaxy S25 Ultra which has some pretty insane AI features we haven’t seen on any other phone.,[X company] just announced the [Y product] which has some pretty insane [Z features] we haven’t seen on any other phone.,Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"6,033,837"
"15 years ago today, I downloaded Instagram.","[X time period] ago today, I [Y action].",Raw Shock,"Creator A-Roll, Image Screenshots",[X shocking thing],"5,917,639"
Social. Media. Is. Dead.,[X]. Is. [Y],Raw Shock,Example Videos,[X shocking thing],"4,981,240"
"So, this is the future of jobs report that just came out and it details just how much the global economy is going to change by 2030.","So, this is the [X report] that just came out and it details just how much the [Y subject] is going to change by [Z year]",Fortuneteller,Creator A-Roll,Future of [X thing],"4,980,817"
Let me show you the craziest part about the Vision Pro.,Let me show you the [X superlative] part about the [Y product],Educational/Tutorial,"Creator A-Roll, Creator in B-Roll",[X shocking thing],"4,663,467"
"Yeah, this is utterly insane. She is 100% AI","Yeah, this is [X adjective]. [Y subject] is 100% [Z fact]",Secret Reveal,"Creator A-Roll, Image Screenshots",[X shocking thing],"3,680,432"
"Yo, check it out. I got 80,000 people tuning in to the live stream.","Yo, check it out. I got [X number] people tuning in to the [Y event]",Raw Shock,Creator A-Roll,[X shocking thing],"3,065,049"
This creator Jeremy Kim is a master of Gen Z marketing.,This creator [X name] is a master of [Y niche],Secret Reveal,"Creator A-Roll, Subject in B-Roll",[X subject] does [Y thing],"1,378,110"
The influencer era is officially dead. We're now in the creator founder era.,The [X era] is officially dead. We're now in the [Y era],Contrarian/Negative,"Creator A-Roll, Image Screenshots",[X shocking thing],"1,280,913"
This creator Anya is a marketing genius.,This creator [X name] is a [Y field] genius,Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,206,490"
"This clothing brand, Trico, is making millions off of TikTok.","This [X brand type], [Y name], is making millions off of [Z platform]",Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,121,785"
"This creator, Garbo, is dominating everyone's feed.","This creator, [X name], is dominating everyone's [Y]",Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,040,292"
"This is Phoebe Gates. Yes, Bill Gates' daughter.","This is [X name]. Yes, [Y famous person's] [Z relation]",Raw Shock,"Creator A-Roll, Image Screenshots, Subject in B-Roll",Captions (repeat of spoken),"677,405"
This brand is the ultimate guide on viral marketing.,This [X] is the ultimate guide on [Y topic],Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"530,185"
This brand is making millions using anti-corporate marketing.,This brand is making millions using [X type] marketing,Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"421,319"
This creator Eric completely broke traditional marketing.,This creator [X name] completely broke [Y system],Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"382,302"
This company's going stupid viral using unhinged marketing.,This [X]'s going stupid viral using [Y type] marketing,Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"321,371"
This is why your brand needs to launch a social show.,This is why your [X] needs to launch a [Y],Secret Reveal,"Creator A-Roll, Image Screenshots, Subject in B-Roll",Captions (repeat of spoken),"1,855,350"
This is good content vs. bad content -  running brands.,This is good [X] vs. bad [X] - [Y category],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"968,786"
Here's content that every brand should make.,Here's [X] that every [Y] should make,Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"908,541"
This is the 8-figure brand content playbook because these are the 5 content types that every brand should make.,This is [X]  playbook containing [Y number] content types that every brand should make,Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"834,566"
This is Last Crumb's $10 million marketing playbook,This is [X company's] $[Y amount] marketing playbook,Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"655,073"
This is brands doing marketing right - All Things Butter.,This is [X] doing [Y] right - [Z example],Educational/Tutorial,"Creator A-Roll, Image Screenshots, Subject in B-Roll",Captions (repeat of spoken),"530,735"
"This brand Trico, he's gotten his account shut down like four times at this point.","This brand [X name], [Y event/action]",Raw Shock,"Creator A-Roll, Image Screenshots, Non-person B-Roll",Captions (repeat of spoken),"506,231"
This is content that every brand should make in 2025 - one shot videos.,This is [X] that every [Y] should make in [Z year] - [specific type],Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"471,613"
This website has been an endless source of scroll-stopping visuals for me.,This [X] has been an endless source of [Y benefit] for me,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"5,682,230"
Are you buying the product or are you buying the brand?,Are you buying the [X] or are you buying the [Y]?,Question,"Creator A-Roll, Image Screenshots, Subject in B-Roll",Captions (repeat of spoken),"3,840,154"
This is the biggest fabric market in the world that every creative needs to see once in their lives,This is the [X superlative] [Y place] in the world that every [Z audience] needs to see once in their lives,Educational/Tutorial,Creator in B-Roll,Captions (repeat of spoken),"1,404,828"
Three content trends that are performing in ads from film supply.,[X number] content trends that are performing in [Y] from [Z source],Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,325,682"
Is this the best auto marketing reveal of all time? Let's talk about Slate.,Is this the best [X category] of all time? Let's talk about [Y],Question,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"993,488"
"I took my son to Benihana last night, and it got me thinking about the true foundational American food experience every kid coming of age or tourist needs to have.",I took [X person] to [Y place] and it got me thinking about [Z insight],Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"750,554"
"So, my buddy runs a taco restaurant, and he recently texted me that he needs a flyer to promo an upcoming event.","So, my [X person] runs a [Y business], and he recently texted me that he needs [Z thing]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"7,620,877"
"So, the design of this chocolate bar, and almost everything that this company does, serves a role in highlighting their mission.","So, the design of this [X product], and almost everything that this company does, serves a role in highlighting their [Y]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"2,502,073"
"So when my wife saw this picture and this phone case from Hailey Bieber, she audibly gasped.","So when my [X person] saw this [Y thing] from [Z celebrity], she audibly gasped",Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"1,609,625"
"Okay, because of this North Face ad I just accidentally ran 13 miles now when I run I like to think about random stuff","Okay, because of this [X brand] ad I just accidentally [Y extreme action]",Raw Shock,Creator A-Roll,Captions (repeat of spoken),"1,307,120"
Can someone explain to me what is going on in Hollywood movie marketing?,Can someone explain to me what is going on in [X industry]?,Question,Creator A-Roll,Captions (repeat of spoken),"859,174"
"Come with me to the Coachella of corporate events, where confetti flies, choirs sing, and every color of the rainbow is on full display to celebrate all things creative.","Come with me to the [X metaphor] of [Y events], where [Z vivid description]",Secret Reveal,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"637,772"
"Here is a brand that is not afraid to stand for something, even if that means pissing people off.","Here is a [X] that is not afraid to [Y action], even if that means [Z consequence]",Educational/Tutorial,Creator A-Roll,[X shocking thing],"461,588"
Is this the beginning of the end for Capri Sun?,Is this the beginning of the end for [X]?,Contrarian/Negative,Creator A-Roll,None,"461,088"
"So, maybe to no one's surprise, but this company that raised over $200 million was building in stealth for over 6 years to launch this AI hardware device of questionable utility","So, maybe to no one's surprise, but this company that [X impressive fact] was [Y surprising action]",Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"414,919"
Pink's is a great example of how you can stand out in an old and boring category by paying attention to branding and details,[X brand] is a great example of how you can stand out in [Y category] by [Z approach],Secret Reveal,Creator A-Roll,[X subject] does [Y thing],"399,681"
This is a shock value hook.,This is a [X type] hook,Educational/Tutorial,"Creator A-Roll, Example Videos",Captions (repeat of spoken),"2,053,084"
"If you're not sure about a prompt, write what you think is a good prompt and then ask ChatGPT","If you're not sure about [X], [Y action] and then ask [Z]",Educational/Tutorial,"Creator A-Roll, Example Videos",Captions (repeat of spoken),"1,388,668"
All of these viral videos have the same exact hook.,All of these [X content] have the same exact [Y],Secret Reveal,"Creator A-Roll, Example Videos",Captions (repeat of spoken),"880,485"
"I don't script my videos, I freestyle.","I don't [X expected action], I [Y unexpected action]",Comparison,"Article Screenshots, Creator A-Roll, Example Videos",Captions (repeat of spoken),"802,667"
Don't post any more Reels until you've done this one thing.,Don't [X action] until you've done this one thing,Contrarian/Negative,"Creator A-Roll, Example Videos",Captions (repeat of spoken),"500,314"
Here is my number one prompt for ChatGPT.,Here is my number one [X] for [Y],Secret Reveal,"Creator A-Roll, Example Videos",[X shocking thing],"424,433"
Have you ever wondered what it's like when you hire someone to run your Instagram?,Have you ever wondered what it's like when you [X scenario]?,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"391,890"
I got engaged when I was 16 years old. That was a storytelling hook.,I [X shocking personal story]. That was a [Y type] hook,Raw Shock,Creator A-Roll,Captions (repeat of spoken),"279,003"
Don't tell me eating healthy is too expensive. This is a negative hook.,Don't tell me [X excuse]. This is a [Y type] hook,Contrarian/Negative,Example Videos,Captions (repeat of spoken),"2,538,007"
"This video got over 200 million views and 1.4 million likes, all because of this tiny detail","This video got over [X numbers], all because of this tiny [Y]",Secret Reveal,Example Videos,Captions (repeat of spoken),"1,800,410"
This is why you should always wash your bread before eating it. This is a shocking truth hook.,This is why you should always [X bizarre action]. This is a [Y type] hook,Secret Reveal,Example Videos,Captions (repeat of spoken),"988,775"
This is my actual productivity routine that's cheaper than Starbucks.This is a personal experience hook.,This is my actual [X routine] that's [Y comparison]. This is a [Z type] hook,Educational/Tutorial,Example Videos,Captions (repeat of spoken),"706,821"
This guy is a viral genius. His name is Iman Gadzi.,This guy is a [X type] genius. His name is [Y],Educational/Tutorial,Example Videos,[X shocking thing],"640,984"
Steal this chat GPT prompt if you want two months worth of fully written humanized content in your niche.,Steal this [X tool] prompt if you want [Y specific result],Secret Reveal,Non-person B-Roll,Captions (repeat of spoken),"625,110"
How to audit your own IG account. Step 1...,How to [X action] your own [Y]. Step 1...,Educational/Tutorial,Non-person B-Roll,Captions (repeat of spoken),"579,409"
"Everyone always asks me, Ashley, how do you change your tire? And I always say, I don't know. And my name's not even Ashley.","Everyone always asks me, [X wrong name], how do you [Y task]? And I always say, [Z response]. And my name's not even [X]",Contrarian/Negative,Example Videos,Captions (repeat of spoken),"517,294"
"Mr. Beast generated 290 million views for his chocolate promotional video. It would have cost four million dollars using ads, but he did it organically using this one simple trick.","[X person] generated [Y huge metric] for his [Z content]. It would have cost [huge amount] using ads, but he did it organically using this one simple trick",Secret Reveal,Example Videos,Captions (repeat of spoken),"440,691"
Why do most AI photos look like AI? Because the prompts suck.,Why do most [X] look like [Y]? Because [Z reason],Secret Reveal,Example Videos,Captions (repeat of spoken),"3,910,726"
"This is how you shoot content in 2025. And yeah, that's AI.","This is how you [X action] in [Y year]. And yeah, that's [Z]",Secret Reveal,Example Videos,Captions (repeat of spoken),"920,567"
Why do most AI videos look fake? Because they don't know how to sparkle like this.,Why do most [X] look [Y quality]? Because they don't know how to [Z technique],Secret Reveal,Example Videos,Captions (repeat of spoken),"644,518"
This looks like a 10k camera setup. It's not. It's just one really dirty prompt.,This looks like [X expensive thing]. It's not. It's just [Y simple truth],Secret Reveal,Example Videos,Captions (repeat of spoken),"638,717"
Why is the grass always greener on the other side? Because it's fake. It's AR.,[X common saying]? Because [Y truth]. It's [Z],Secret Reveal,Example Videos,Captions (repeat of spoken),"602,285"
"Most AI architecture looks like a cheap render. This, this feels like you could walk into it.","Most [X category] looks like [Y quality]. This, this feels like [Z better quality]",Secret Reveal,Example Videos,Captions (repeat of spoken),"539,398"
Why do most furniture brands still use product shots that look like stock photos from 2009?,Why do most [X industry] still use [Y outdated practice]?,Secret Reveal,Example Videos,Captions (repeat of spoken),"374,633"
"Someone hired me to create visuals for their running brand, but we didn't show the product once, because that's not what makes people stop scrolling. What works is the feeling.","Someone hired me to [X task], but we didn't [Y expected approach], because that's not what [Z desired outcome]. What works is [better approach]",Secret Reveal,"Example Videos, Image Screenshots",Captions (repeat of spoken),"364,590"
"If this doesn't feel AI, it's because it isn't. It's design.","If this doesn't feel [X], it's because it isn't. It's [Y]",Secret Reveal,Example Videos,Captions (repeat of spoken),"360,469"
"If this looks real, it's not luck, it's prompt design, on purpose.","If this looks [X quality], it's not luck, it's [Y skill], on purpose",Secret Reveal,Example Videos,Captions (repeat of spoken),"333,980"
"Look at this freaking thing right here. New trend alert, new trend alert.",Look at [X thing]. [Y excited declaration],Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"10,565,246"
"Look at this freaking thing right here, this is the most genius business idea I've seen this year.",Look at [X thing].. This is the most [X superlative] [Y category] I've seen [Z time period],Raw Shock,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"6,478,994"
"I'm sorry, but this has gotta be a cash cow.","I'm sorry, but this has gotta be a [X metaphor]",Contrarian/Negative,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"3,657,103"
Look at this friggin thing right here. Here's what I love and what I hate about this side hustle.,Look at [X thing]. Here's what I love and what I hate about [X],Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,692,695"
"Look at this friggin' thing right here. You're gonna think I'm an idiot for suggesting this, but hear me out.","Look at [X thing]. You're gonna think I'm [Y self-insult], but hear me out",Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,654,599"
Look at this frickin' thing right here. You know why I love this video?,Look at [X thing]. You know why I love [X]?,Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,532,561"
Did you know that anyone on the planet can go find your local sod supplier and buy a whole pallet full of sod for $220?,Did you know that anyone on the planet can [X accessible action] for [Y price]?,Question,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,412,040"
Look at this freaking thing right here. Here's exactly how to launch the easiest six figure business you've never heard of in only two steps.,Look at [X thing]. Here's exactly how to [Y achieve result] you've never heard of in only [Z number] steps,Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,089,418"
Would you look at this freaking guy right here? What won't we 3D print next?,Would you look at [X thing] right here? What won't we [Y action] next?,Question,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"972,407"
Look at this freaking thing right here. Holy genius business idea.,Look at [X thing]. [Y adjective] [Z category],Raw Shock,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"949,920"
"These three brothers made billions just by copying ideas, and they never went to jail, and you'll see why.","These [X people] made [Y amount] just by [Z controversial method], and they never [consequence], and you'll see why",Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"4,059,673"
Red flag alert. You do not want to work somewhere they call you family.,Red flag alert. You do not want to [X action] where [Y warning sign],Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"2,143,479"
"As women hit middle age, we look better with a little bit of fat.","As [X group] hit [Y life stage], we [Z counterintuitive truth]",Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"1,959,737"
Is there any way for money to buy you happiness?,Is there any way for [X] to [Y achieve goal]?,Question,Creator A-Roll,Captions (repeat of spoken),"1,590,413"
"What happens when you hang out in rooms with other people who have way more zeros is your problems are so small to them, often they can see into your future.",What happens when you [X situation] is [Y unexpected insight],Fortuneteller,Creator A-Roll,Captions (repeat of spoken),"1,558,897"
"Before I got married, my mom asked me how I knew Elizabeth, my wife, was the one.","Before I [X life event], [Y person] asked me how I knew [Z personal detail]",Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"1,390,275"
One of my favorite mentors told me a line that changed my life.,One of my favorite [X people] told me a line that changed my life,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"993,938"
Rating brands' marketing as high status or low status - running shoes.,Rating [X category]'s [Y aspect] as [Z status] or [status] - [niche],Educational/Tutorial,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"1,740,325"
This coffee brand sold out six months of inventory in just 28 minutes.,This [X type] brand sold out [Y amount] of inventory in just [Z time],Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,386,527"
This is 2Jeys $30 million content strategy.,This is [X company's] $[Y amount] [Z strategy],Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,193,651"
"This girl sold over $100,000 of matcha in under 45 minutes.",This [X person] sold over $[Y amount] of [Z product] in under [time],Secret Reveal,"Creator A-Roll, Image Screenshots, Subject in B-Roll",Captions (repeat of spoken),"1,030,616"
"Drake's new album just changed the music industry forever, but it has nothing to do with his actual song.","[X celebrity's] new [Y work] just changed the [Z industry] forever, but it has nothing to do with [expected thing]",Contrarian/Negative,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"980,440"
This 25-year-old built a $50 million fashion empire without spending a dime on ads.,This [X age]-year-old built a $[Y amount] [Z type] empire without [expected expense],Raw Shock,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"782,315"
Drewski just pulled off one of the greatest marketing campaigns of all time.,[X person] just pulled off one of the greatest [Y achievement] of all time,Raw Shock,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"766,969"
What are some of these rich versus poor habits?,What are some of these [X] versus [Y] habits?,Question,Creator A-Roll,Captions (repeat of spoken),"596,865"
Malibu Golf made $30 million last year by following this unique content strategy I like to call TDS.,[X company] made $[Y amount] last year by following this unique [Z strategy] I like to call [acronym],Secret Reveal,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"340,211"
I have a formula for like I'm gonna go viral again right now.,I have a formula for [X outcome],Educational/Tutorial,"Arrow/Highlights, Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"302,120"
that right there that's where we spent the night that's crazy dude this is the craziest place i've ever stayed in,"That right there, that's where [X experience]. That's crazy dude, this is the [Y superlative] place I've ever [Z action]",Raw Shock,Creator A-Roll,Captions (repeat of spoken),"18,279,099"
"Hey, are you guys going on a road trip? Yeah, we're going on a motorcycle trip across Italy.","Hey, are you guys [X activity]? Yeah, we're [Y specific version]",Experimentation,Creator in B-Roll,Captions (repeat of spoken),"13,913,818"
"All right, so let's dive a little deeper into the Ray-Ban Meta Smart Glasses.","All right, so let's dive a little deeper into the [X product/topic]",Educational/Tutorial,Creator A-Roll,None,"11,837,614"
"Look at this, look at this, look at this guy.","Look at this, look at this, look at this [X]",Raw Shock,Creator A-Roll,[X shocking thing],"11,413,416"
"This is what I like to call a visual nugget, a sneaky little bit of optical trickery that serves to hold on to the attention of the viewer while at the same time conveying the backbone of whatever story you're telling.","This is what I like to call a [X technique], a [Y description] that serves to [Z purpose]",Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"7,894,843"
"This is the Limitless Zoom, and it's very easy to make.","This is the [X technique], and it's very easy to [Y action]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"3,546,487"
"Yo, check this out. What if I told you you could get all these images for free?","Yo, check this out. What if I told you you could get [X thing] for free?",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"2,383,274"
What if I told you that you're only six months away?,What if I told you that you're only [X time] away?,Fortuneteller,"Creator in B-Roll, Non-person B-Roll",Captions (repeat of spoken),"2,737,113"
"You know, I don't do ice bars. I don't do infrared saunas.","You know, I don't do [X trendy thing]. I don't do [Y trendy thing]",Contrarian/Negative,"Creator in B-Roll, Non-person B-Roll",Captions (repeat of spoken),"2,123,186"
"From a $29 product, I had a $50,000 month.","From a $[X small amount] [Y product], I had a $[Z huge amount] [time period]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"819,021"
My YouTube videos are not very edited.,My [X content] are not very [Y expected quality],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"751,080"
"Alex Hormozi talks about this, but people dramatically underestimate the amount of volume required to be successful.","[X authority] talks about this, but people dramatically underestimate [Y factor]",Educational/Tutorial,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"699,821"
"People will cringe, and then they'll be jealous.","People will [X negative reaction], and then they'll be [Y positive reaction]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"360,406"
"Hashtags are dead, stop focusing on them for reach.","[X feature] are dead, stop focusing on them for [Y purpose]",Educational/Tutorial,Creator A-Roll,[X shocking thing],"6,778,456"
"No matter what they tell you, size matters.","No matter what they tell you, [X statement] matters",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"4,002,624"
Here's how to turn one shitty content idea,Here's how to turn one [X bad quality] [Y thing],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,675,944"
Here's an Instagram hack that most people don't know about.,Here's an [X platform] hack that most people don't know about,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,353,475"
"My name is Devin Jadtho and as a social media manager, I charge my clients anywhere from $53,000 to $187,000 per year.","My name is [X] and as a [Y profession], I charge [Z price range]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,258,985"
Here's an Instagram hack that most people don't know about.,Here's an [X platform] hack that most people don't know about,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,190,237"
"F**k all of your followers. Hold on, hear me out.","[X shocking statement]. Hold on, hear me out",Educational/Tutorial,Creator A-Roll,[X shocking thing],"1,089,564"
This is how the algorithm works on social media.,This is how the [X system] works on [Y platform],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,025,829"
"But if you need content ideas for TikToks or Instagram Reels, don't be a dumbass and ask ChatGPT, can you give me 10 content ideas?","But if you need [X], don't be a dumbass and [Y wrong action]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"973,911"
You are ruining your videos if you are not in the Devon zone.,You are ruining your [X content] if you are not [Y technique/state],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"910,133"
Nobody fumbled a bag harder than the French gymnastics team.,Nobody [X failed action] harder than [Y example],Secret Reveal,Subject in B-Roll,Captions (repeat of spoken),"17,754,350"
Jalen Brown's resume might be the most ridiculous in NBA history,[X person's] [Y achievement] might be the most [Z superlative] in [field] history,Secret Reveal,Subject in B-Roll,Captions (repeat of spoken),"14,875,278"
The fact that Suni Lee was even able to compete in Paris is nothing short of incredible.,The fact that [X person] was even able to [Y achievement] is nothing short of incredible,Secret Reveal,Subject in B-Roll,Captions (repeat of spoken),"7,615,266"
The Bronny James experiment should already be over in LA.,The [X experiment] should already be over in [Y place],Secret Reveal,Subject in B-Roll,Captions (repeat of spoken),"7,157,185"
"Simone Biles has gone on record to say, Rebecca Andrade scares her most and it's for good reason.","[X famous person] has gone on record to say, [Y person] scares them most and it's for good reason",Secret Reveal,Subject in B-Roll,Captions (repeat of spoken),"3,398,570"
"Just seven years ago, the best female road cyclist in the world was learning how to bike in Central Park.","Just [X time] ago, the best [Y category] in the world was [Z humble beginning]",Secret Reveal,Subject in B-Roll,Captions (repeat of spoken),"2,871,165"
"Tua is getting blasted for refusing to wear a guardian cap when he comes back, but he's making the right move.","[X person] is getting blasted for [Y action], but they're making the right move",Secret Reveal,Subject in B-Roll,Captions (repeat of spoken),"2,626,767"
There's no coach in sports you've been lied to more about than Mike Tomlin.,There's no [X role] in [Y field] you've been lied to more about than [Z person],Secret Reveal,Subject in B-Roll,Captions (repeat of spoken),"2,554,477"
"Jaden Daniels has an advantage over every other QB in the NFL, and it has absolutely nothing to do with his ability to run.","[X person] has an advantage over every other [Y position] in the [Z league], and it has absolutely nothing to do with [expected skill]",Secret Reveal,Subject in B-Roll,Captions (repeat of spoken),"2,268,600"
The Pittsburgh Pirates may never be able to sign a free agent again.,The [X team] may never be able to [Y action] again,Contrarian/Negative,Subject in B-Roll,Captions (repeat of spoken),"2,230,870"
"If you use a shoulder-width handle like this with your arms held in, you'll target the lats, terries major, and rear delts.","If you use [X technique], you'll target [Y results]",Educational/Tutorial,Creator A-Roll,None,"16,990,510"
This is the best and simplest guide for a perfect bench press you'll ever see.,This is the best and simplest guide for a perfect [X exercise] you'll ever see,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"14,774,742"
"If you lay a bench down flat, like this, and hold your arms at an angle to press, you'll target more of the middle pecs.","If you [X setup], you'll target [Y results]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"9,945,699"
This is the best squat tutorial that's ever been made.,This is the best [X exercise] tutorial that's ever been made,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"8,023,262"
"Push-up. That's the first exercise my dad ever taught me, and now I'm gonna teach you.","[X topic]. That's the first [Y thing] my [Z person] ever taught me, and now I'm gonna teach you",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"7,290,501"
This is the best dumbbell bench tutorial ever made.,This is the best [X exercise] tutorial ever made,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"6,216,649"
"Why do some people squat like this, and others like this? Which form is correct? Let me explain.","Why do some people [X method], and others [Y method]? Which form is correct? Let me explain",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"12,056,276"
"I used a $12,000 EMG machine to find out which exercises best target the upper, middle, and lower chest.",I used a $[X equipment] to find out which [Y methods] best target [Z muscles],Educational/Tutorial,"Arrow/Highlights, Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"11,589,876"
"The bench press is a great exercise to build your upper body, but only if you do it right.","The [X exercise] is a great exercise to [Y benefit], but only if you do it right",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"10,462,988"
