Actual Spoken Hook,Spoken Hook Framework,Spoken Hook Structure,Visual Hook | Graphic Selection,Visual Hook | Visual Movemen,Visual Hook | Layout Structrure,Text Hook | Word Structure,Text Hook | Layout,Text Hook | Motion,Audio Hook | Structure,Audio Hook | Specifics,Video Link,Niche,Content Type,Performance (out of top 10 on channel),Views
Samsung just announced the Galaxy S25 Ultra which has some pretty insane AI features we haven’t seen on any other phone.,[X company] just announced the [Y product] which has some pretty insane [Z features] we haven’t seen on any other phone.,Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Whoosh SFX,https://www.instagram.com/rpn/reel/DFOdXPnPSeT/,Tech,Entertainment,4,"6,033,837"
"15 years ago today, I downloaded Instagram.","[X time period] ago today, I [Y action].",Raw Shock,"Creator A-Roll, Image Screenshots","A-Roll - Slow Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",[X shocking thing],Plain Text,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/rpn/reel/DHl2aVTP7op/,Content Marketing,Education,5,"5,917,639"
Social. Media. Is. Dead.,[X]. Is. [Y],Raw Shock,Example Videos,B-Roll - Quick Cuts,Full screen B-roll,[X shocking thing],Plain Text,No Motion,SFX only,Whoosh SFX,https://www.instagram.com/rpn/reel/C9sN8PKJ240/,Content Marketing,Entertainment,6,"4,981,240"
"So, this is the future of jobs report that just came out and it details just how much the global economy is going to change by 2030.","So, this is the [X report] that just came out and it details just how much the [Y subject] is going to change by [Z year]",Fortuneteller,Creator A-Roll,A-Roll - Slow Zoom,Full screen A-roll (in studio),Future of [X thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/rpn/reel/DEph_iVxGr9/,Tech,Education,7,"4,980,817"
Let me show you the craziest part about the Vision Pro.,Let me show you the [X superlative] part about the [Y product],Educational/Tutorial,"Creator A-Roll, Creator in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,[X shocking thing],Plain Text,No Motion,Music only,None,https://www.instagram.com/rpn/reel/C2-JTGgsRBl/,Tech,Entertainment,8,"4,663,467"
"Yeah, this is utterly insane. She is 100% AI","Yeah, this is [X adjective]. [Y subject] is 100% [Z fact]",Secret Reveal,"Creator A-Roll, Image Screenshots","B-Roll - Quick Cuts, B-Roll - Slow Zooms",Full screen B-roll w/ A-roll overlaid,[X shocking thing],Text on Colored Background,No Motion,SFX only,Riser SFX,https://www.instagram.com/rpn/reel/C-bNBWFvwxT/,Tech,Entertainment,10,"3,680,432"
"Yo, check it out. I got 80,000 people tuning in to the live stream.","Yo, check it out. I got [X number] people tuning in to the [Y event]",Raw Shock,Creator A-Roll,A-Roll - Slow Zoom,Full screen A-roll (in world),[X shocking thing],Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/rpn/reel/C1A6PoCNixz/,Tech,Entertainment,11,"3,065,049"
This creator Jeremy Kim is a master of Gen Z marketing.,This creator [X name] is a master of [Y niche],Secret Reveal,"Creator A-Roll, Subject in B-Roll",B-Roll - Quick Cuts,Full screen B-roll w/ A-roll overlaid,[X subject] does [Y thing],Plain Text,No Motion,Music only,None,https://www.instagram.com/itsryanto/reel/C-kuOMPtbcX/,Content Marketing,Education,1,"1,378,110"
The influencer era is officially dead. We're now in the creator founder era.,The [X era] is officially dead. We're now in the [Y era],Contrarian/Negative,"Creator A-Roll, Image Screenshots","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,[X shocking thing],Text on Colored Background,No Motion,Music + SFX,Riser SFX,https://www.instagram.com/itsryanto/reel/DH6IFxxp8Cc/,Content Marketing,Education,2,"1,280,913"
This creator Anya is a marketing genius.,This creator [X name] is a [Y field] genius,Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Whoosh SFX,https://www.instagram.com/itsryanto/reel/C8qNss9PJ-o/,Content Marketing,Education,3,"1,206,490"
"This clothing brand, Trico, is making millions off of TikTok.","This [X brand type], [Y name], is making millions off of [Z platform]",Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/itsryanto/reel/C9uw9LXvwsL/,Content Marketing,Education,4,"1,121,785"
"This creator, Garbo, is dominating everyone's feed.","This creator, [X name], is dominating everyone's [Y]",Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,SFX only,Upbeat Music + Whoosh SFX,https://www.instagram.com/itsryanto/reel/DENZkl-vr0D/,Content Marketing,Education,5,"1,040,292"
"This is Phoebe Gates. Yes, Bill Gates' daughter.","This is [X name]. Yes, [Y famous person's] [Z relation]",Raw Shock,"Creator A-Roll, Image Screenshots, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-Roll - Swipe Transitions","Full screen A-roll (partial graphic overlay), Full screen B-roll w/ A-roll overlaid",Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + Whoosh SFX,https://www.instagram.com/itsryanto/reel/DJ9glMuJNvR/,Content Marketing,Education,6,"677,405"
This brand is the ultimate guide on viral marketing.,This [X] is the ultimate guide on [Y topic],Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Slow Zooms, B-Roll - Swipe Transitions",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + Riser SFX,https://www.instagram.com/itsryanto/reel/DAtRf1lvUIK/,Content Marketing,Education,7,"530,185"
This brand is making millions using anti-corporate marketing.,This brand is making millions using [X type] marketing,Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/itsryanto/reel/C_0iI_9pv3l/,Content Marketing,Education,8,"421,319"
This creator Eric completely broke traditional marketing.,This creator [X name] completely broke [Y system],Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - None, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/itsryanto/reel/DCCe4AOv0e8/,Content Marketing,Education,9,"382,302"
This company's going stupid viral using unhinged marketing.,This [X]'s going stupid viral using [Y type] marketing,Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/itsryanto/reel/DCXyx4HSiXo/,Content Marketing,Education,10,"321,371"
This is why your brand needs to launch a social show.,This is why your [X] needs to launch a [Y],Secret Reveal,"Creator A-Roll, Image Screenshots, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/alexgarcia_atx/reel/DFHHhfqNts9/,Content Marketing,Education,1,"1,855,350"
This is good content vs. bad content -  running brands.,This is good [X] vs. bad [X] - [Y category],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-roll - Text Overlays","Full screen B-roll, Full screen B-roll w/ A-roll overlaid",Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/alexgarcia_atx/reel/DDPchR3Jmi1/,Content Marketing,Education,3,"968,786"
Here's content that every brand should make.,Here's [X] that every [Y] should make,Secret Reveal,Creator A-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/alexgarcia_atx/reel/C7fpNOSNFge/,Content Marketing,Education,4,"908,541"
This is the 8-figure brand content playbook because these are the 5 content types that every brand should make.,This is [X]  playbook containing [Y number] content types that every brand should make,Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/alexgarcia_atx/reel/C61RyD8uhKZ/,Content Marketing,Education,5,"834,566"
This is Last Crumb's $10 million marketing playbook,This is [X company's] $[Y amount] marketing playbook,Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/alexgarcia_atx/reel/C5exfvst-kL/,Content Marketing,Education,6,"655,073"
This is brands doing marketing right - All Things Butter.,This is [X] doing [Y] right - [Z example],Educational/Tutorial,"Creator A-Roll, Image Screenshots, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/alexgarcia_atx/reel/C54mkAQt5oW/,Content Marketing,Education,8,"530,735"
"This brand Trico, he's gotten his account shut down like four times at this point.","This brand [X name], [Y event/action]",Raw Shock,"Creator A-Roll, Image Screenshots, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/alexgarcia_atx/reel/C_yIBbCJ6Rr/,Content Marketing,Education,9,"506,231"
This is content that every brand should make in 2025 - one shot videos.,This is [X] that every [Y] should make in [Z year] - [specific type],Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/alexgarcia_atx/reel/DHFKNmotRw-/,Content Marketing,Education,10,"471,613"
This website has been an endless source of scroll-stopping visuals for me.,This [X] has been an endless source of [Y benefit] for me,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,Swipes In,No audio,None,https://www.instagram.com/orenmeetsworld/reel/DDKbBPfPrRx/,Content Marketing,Education,1,"5,682,230"
Are you buying the product or are you buying the brand?,Are you buying the [X] or are you buying the [Y]?,Question,"Creator A-Roll, Image Screenshots, Subject in B-Roll","A-Roll - None, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/orenmeetsworld/reel/C09iRC6xoG3/,Content Marketing,Education,2,"3,840,154"
This is the biggest fabric market in the world that every creative needs to see once in their lives,This is the [X superlative] [Y place] in the world that every [Z audience] needs to see once in their lives,Educational/Tutorial,Creator in B-Roll,"B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/orenmeetsworld/reel/C-sk6SfP2VE/,Content Marketing,Education,3,"1,404,828"
Three content trends that are performing in ads from film supply.,[X number] content trends that are performing in [Y] from [Z source],Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/orenmeetsworld/reel/DHTohFxpyra/,Content Marketing,Education,5,"1,325,682"
Is this the best auto marketing reveal of all time? Let's talk about Slate.,Is this the best [X category] of all time? Let's talk about [Y],Question,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/orenmeetsworld/reel/DI4k95cxrah/,Content Marketing,Education,7,"993,488"
"I took my son to Benihana last night, and it got me thinking about the true foundational American food experience every kid coming of age or tourist needs to have.",I took [X person] to [Y place] and it got me thinking about [Z insight],Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Slow Zooms, B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/orenmeetsworld/reel/DHOntmRPUcD/,Content Marketing,Education,10,"750,554"
"So, my buddy runs a taco restaurant, and he recently texted me that he needs a flyer to promo an upcoming event.","So, my [X person] runs a [Y business], and he recently texted me that he needs [Z thing]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/shwinnabegobrand/reel/C_8Y8-turOG/,Content Marketing,Education,1,"7,620,877"
"So, the design of this chocolate bar, and almost everything that this company does, serves a role in highlighting their mission.","So, the design of this [X product], and almost everything that this company does, serves a role in highlighting their [Y]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/shwinnabegobrand/reel/Cz6ctdjOAuJ/,Content Marketing,Education,2,"2,502,073"
"So when my wife saw this picture and this phone case from Hailey Bieber, she audibly gasped.","So when my [X person] saw this [Y thing] from [Z celebrity], she audibly gasped",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/shwinnabegobrand/reel/C3F2GfEu8HH/,Content Marketing,Education,3,"1,609,625"
"Okay, because of this North Face ad I just accidentally ran 13 miles now when I run I like to think about random stuff","Okay, because of this [X brand] ad I just accidentally [Y extreme action]",Raw Shock,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/shwinnabegobrand/reel/DAB4fPWSYqx/,Content Marketing,Education,4,"1,307,120"
Can someone explain to me what is going on in Hollywood movie marketing?,Can someone explain to me what is going on in [X industry]?,Question,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/shwinnabegobrand/reel/DHo2oL7uXJB/,Content Marketing,Education,5,"859,174"
"Come with me to the Coachella of corporate events, where confetti flies, choirs sing, and every color of the rainbow is on full display to celebrate all things creative.","Come with me to the [X metaphor] of [Y events], where [Z vivid description]",Secret Reveal,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/shwinnabegobrand/reel/DIUKb4jy_ih/,Content Marketing,Education,6,"637,772"
"Here is a brand that is not afraid to stand for something, even if that means pissing people off.","Here is a [X] that is not afraid to [Y action], even if that means [Z consequence]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),[X shocking thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/shwinnabegobrand/reel/DBgm6nnO0Qt/,Content Marketing,Education,7,"461,588"
Is this the beginning of the end for Capri Sun?,Is this the beginning of the end for [X]?,Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),None,None,No Motion,No audio,None,https://www.instagram.com/shwinnabegobrand/reel/C_QvIDcuIzI/,Content Marketing,Education,8,"461,088"
"So, maybe to no one's surprise, but this company that raised over $200 million was building in stealth for over 6 years to launch this AI hardware device of questionable utility","So, maybe to no one's surprise, but this company that [X impressive fact] was [Y surprising action]",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/shwinnabegobrand/reel/DGTg2FlRsWy/,Content Marketing,Education,9,"414,919"
Pink's is a great example of how you can stand out in an old and boring category by paying attention to branding and details,[X brand] is a great example of how you can stand out in [Y category] by [Z approach],Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),[X subject] does [Y thing],Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/shwinnabegobrand/reel/DBO6BY4xsY9/,Content Marketing,Education,10,"399,681"
This is a shock value hook.,This is a [X type] hook,Educational/Tutorial,"Creator A-Roll, Example Videos","A-Roll - None, B-Roll - 3D Effect",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,Swipes In,SFX only,Whoosh SFX,https://www.instagram.com/personalbrandlaunch/reel/DJT3cRDJqcR/,Content Marketing,Education,1,"2,053,084"
"If you're not sure about a prompt, write what you think is a good prompt and then ask ChatGPT","If you're not sure about [X], [Y action] and then ask [Z]",Educational/Tutorial,"Creator A-Roll, Example Videos","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/personalbrandlaunch/reel/DIPeRwAJ3zw/,Content Marketing,Education,2,"1,388,668"
All of these viral videos have the same exact hook.,All of these [X content] have the same exact [Y],Secret Reveal,"Creator A-Roll, Example Videos","A-Roll - None, B-Roll - 3D Effect, B-Roll - Quick Cuts",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,Swipes In,No audio,None,https://www.instagram.com/personalbrandlaunch/reel/DJJnQQFPJ2k/,Content Marketing,Education,3,"880,485"
"I don't script my videos, I freestyle.","I don't [X expected action], I [Y unexpected action]",Comparison,"Article Screenshots, Creator A-Roll, Example Videos","A-Roll - None, B-Roll - None",Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text on Colored Background,No Motion,SFX only,Pop SFX,https://www.instagram.com/personalbrandlaunch/reel/DIlpXcYMFDE/,Content Marketing,Education,4,"802,667"
Don't post any more Reels until you've done this one thing.,Don't [X action] until you've done this one thing,Contrarian/Negative,"Creator A-Roll, Example Videos","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical Music,https://www.instagram.com/personalbrandlaunch/reel/DIO3OdtPFGJ/,Content Marketing,Education,6,"500,314"
Here is my number one prompt for ChatGPT.,Here is my number one [X] for [Y],Secret Reveal,"Creator A-Roll, Example Videos","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,[X shocking thing],Text Written On Prop,No Motion,No audio,None,https://www.instagram.com/personalbrandlaunch/reel/DIg8eqgpYYU/,Content Marketing,Education,7,"424,433"
Have you ever wondered what it's like when you hire someone to run your Instagram?,Have you ever wondered what it's like when you [X scenario]?,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text on Colored Background,No Motion,Music only,Upbeat music,https://www.instagram.com/personalbrandlaunch/reel/C7yultuukHv/,Content Marketing,Education,8,"391,890"
I got engaged when I was 16 years old. That was a storytelling hook.,I [X shocking personal story]. That was a [Y type] hook,Raw Shock,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,Swipes In,Music only,Upbeat music,https://www.instagram.com/personalbrandlaunch/reel/DG8OWTKvALo/,Content Marketing,Education,10,"279,003"
Don't tell me eating healthy is too expensive. This is a negative hook.,Don't tell me [X excuse]. This is a [Y type] hook,Contrarian/Negative,Example Videos,B-roll - Text Overlays,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/peter.visuals/reel/DF-Y9O5Pk6J/,Content Marketing,Education,1,"2,538,007"
"This video got over 200 million views and 1.4 million likes, all because of this tiny detail","This video got over [X numbers], all because of this tiny [Y]",Secret Reveal,Example Videos,B-roll - Text Overlays,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/peter.visuals/reel/DIoQ8NgyZeA/,Content Marketing,Education,2,"1,800,410"
This is why you should always wash your bread before eating it. This is a shocking truth hook.,This is why you should always [X bizarre action]. This is a [Y type] hook,Secret Reveal,Example Videos,B-roll - Text Overlays,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/peter.visuals/reel/DIlsryYvOXL/,Content Marketing,Education,3,"988,775"
This is my actual productivity routine that's cheaper than Starbucks.This is a personal experience hook.,This is my actual [X routine] that's [Y comparison]. This is a [Z type] hook,Educational/Tutorial,Example Videos,B-roll - Text Overlays,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/peter.visuals/reel/DFQi9zaTFhi/,Content Marketing,Education,4,"706,821"
This guy is a viral genius. His name is Iman Gadzi.,This guy is a [X type] genius. His name is [Y],Educational/Tutorial,Example Videos,B-roll - Text Overlays,Full screen B-roll,[X shocking thing],Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/peter.visuals/reel/DCjbiTizOIq/,Content Marketing,Education,5,"640,984"
Steal this chat GPT prompt if you want two months worth of fully written humanized content in your niche.,Steal this [X tool] prompt if you want [Y specific result],Secret Reveal,Non-person B-Roll,B-roll - Text Overlays,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/peter.visuals/reel/DEv3g9NTRbK/,Content Marketing,Education,6,"625,110"
How to audit your own IG account. Step 1...,How to [X action] your own [Y]. Step 1...,Educational/Tutorial,Non-person B-Roll,B-roll - Text Overlays,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/peter.visuals/reel/DDchX2yTwQn/,Content Marketing,Education,7,"579,409"
"Everyone always asks me, Ashley, how do you change your tire? And I always say, I don't know. And my name's not even Ashley.","Everyone always asks me, [X wrong name], how do you [Y task]? And I always say, [Z response]. And my name's not even [X]",Contrarian/Negative,Example Videos,B-roll - Text Overlays,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/peter.visuals/reel/DHbDE01P4BG/,Content Marketing,Education,8,"517,294"
"Mr. Beast generated 290 million views for his chocolate promotional video. It would have cost four million dollars using ads, but he did it organically using this one simple trick.","[X person] generated [Y huge metric] for his [Z content]. It would have cost [huge amount] using ads, but he did it organically using this one simple trick",Secret Reveal,Example Videos,B-roll - Text Overlays,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/peter.visuals/reel/DEFU-4cTF64/,Content Marketing,Education,10,"440,691"
Why do most AI photos look like AI? Because the prompts suck.,Why do most [X] look like [Y]? Because [Z reason],Secret Reveal,Example Videos,"B-Roll - Quick Cuts, B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/ohneis652/reel/DItK02BP6a8/,Content Marketing,Education,1,"3,910,726"
